URL,Size,OutLinks,ContentType
https://www.nbcnews.com/dateline/video/remembering-ashley-fallis-689727555859,365572,210,text/html
https://www.nbcnews.com/feature/missing-in-america,98031,118,text/html
https://www.nbcnews.com/feature/nbc-out/winter-olympics-three-openly-gay-men-compete-spot-u-s-n826931,73415,46,text/html
https://www.nbcnews.com/video/laurie-hernandez-is-first-latina-olympic-gymnast-in-30-years-727358019594,319272,146,text/html
https://www.nbcnews.com/news/amp/ncna847166,73921,82,text/html
https://www.nbcnews.com/video/philadelphia-eagles-super-bowl-victory-parade-fills-city-streets-with-fans-1157028931881,320489,146,text/html
https://www.nbcnews.com/better/video/we-worked-out-with-u-s-olympians-1157677635576,226732,41,text/html
https://www.nbcnews.com/slideshow/olympic-moments-mikaela-shiffrin-zooms-gold-more-n848376,87459,40,text/html
https://www.nbcnews.com/nightly-news/video/chloe-kim-s-post-gold-medal-treat-ice-cream-1160970819793,370467,168,text/html
https://www.nbcnews.com/better/video/2-minutes-with-nastia-liukin-olympic-gold-medalist-and-gymnast-1109805635981,177156,41,text/html
https://www.nbcnews.com/better/business/how-use-mindfulness-manage-your-money-better-ncna839111,117214,41,text/html
https://www.nbcnews.com/better/business/how-pay-holiday-debt-faster-ncna836256,120792,47,text/html
https://www.nbcnews.com/better/business/3-common-behaviors-stifle-our-retirement-savings-ncna832951,113279,41,text/html
https://www.nbcnews.com/better/pop-culture/how-your-life-story-can-help-you-succeed-life-work-ncna753441,61537,25,text/html
https://www.nbcnews.com/better/business/7-steps-declutter-your-home-life-finances-2018-ncna831816,124807,43,text/html
https://www.nbcnews.com/better/business/2-step-approach-will-straighten-out-your-finances-year-ncna845551,118396,53,text/html
https://www.nbcnews.com/storyline/smart-facts,74016,72,text/html
https://www.nbcnews.com/better/business/right-way-ask-raise-work-ncna818556,66786,41,text/html
https://www.nbcnews.com/better/business/3-money-conversations-you-your-partner-need-have-ncna846016,170821,46,text/html
https://www.nbcnews.com/feature/good-cents,339858,121,text/html
https://www.nbcnews.com/news/nbcblk/self-taught-financial-advisers-keep-it-real-about-money-management-n817326,64809,37,text/html
https://www.nbcnews.com/better/business/how-one-woman-saved-thousands-pocketing-5-bills-ncna844051,58981,31,text/html
https://www.nbcnews.com/nightly-news/video/lawsuit-zillow-zestimates-are-wrong-preventing-homes-from-selling-954493507756,372103,168,text/html
https://www.nbcnews.com/news/us-news/new-hampshire-woman-fights-keep-id-secret-after-560m-powerball-n845071,69446,85,text/html
https://www.nbcnews.com/better/business/your-credit-score-affecting-your-quality-life-ncna836956,112299,46,text/html
https://www.nbcnews.com/better/business/what-2017-search-trends-tell-us-about-current-job-market-ncna836051,118296,41,text/html
https://www.nbcnews.com/better/video/should-you-rent-or-buy-a-house-1084374595524,220839,41,text/html
https://www.nbcnews.com/better/business/why-older-women-will-rule-world-future-female-mit-expert-ncna826736,112241,39,text/html
https://www.nbcnews.com/better/business/how-save-money-your-mid-winter-or-spring-getaway-ncna843251,122802,41,text/html
https://www.nbcnews.com/better/business/under-20-11-gifts-thoughtful-givers-budget-ncna825556,84358,56,text/html
https://www.nbcnews.com/better/business/what-bitcoin-should-you-invest-it-ncna844106,167426,40,text/html
https://www.nbcnews.com/better/video/should-i-buy-a-used-car-or-a-new-car-1059657795548,220386,41,text/html
https://www.nbcnews.com/nightly-news/video/equifax-security-breach-agency-websites-melt-down-under-surge-1046033475860,371596,168,text/html
https://www.nbcnews.com/better/business/how-safely-sell-those-unwanted-gift-cards-ncna838736,63854,36,text/html
https://www.nbcnews.com/better/business/how-end-paycheck-paycheck-cycle-zero-based-budgeting-ncna835716,110785,37,text/html
